GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000157216	1	54691105	54879152	33	1	562	4.4368	4.5661e-06	SSBP3
ENSG00000163009	2	10281509	10351851	13	1	562	4.3604	6.49e-06	C2orf48
ENSG00000144619	3	2140497	3099645	1	1	562	4.4155	5.0385e-06	CNTN4
ENSG00000144642	3	29322473	30051886	2	1	562	4.6369	1.7681e-06	RBMS3
ENSG00000110723	11	108376158	108464465	1	1	562	4.2962	8.6885e-06	EXPH5
ENSG00000166855	15	65440557	65477680	1	1	562	4.2923	8.8428e-06	CLPX
ENSG00000272333	19	36208921	36229779	2	1	562	3.989	3.3178e-05	KMT2B
ENSG00000126246	19	36230058	36233354	1	1	562	4.477	3.7842e-06	IGFLR1
ENSG00000267120	19	36230153	36236333	3	1	562	4.1081	1.995e-05	AD000671.6
ENSG00000161265	19	36233365	36236346	2	1	562	4.0822	2.2303e-05	U2AF1L4
ENSG00000188223	19	36236579	36245420	1	1	562	4.5064	3.2964e-06	AC002398.9
ENSG00000267796	19	36239262	36245420	1	1	562	4.5064	3.2964e-06	LIN37
ENSG00000004776	19	36245469	36248980	1	1	562	4.5264	3.0003e-06	HSPB6
ENSG00000167595	19	36249044	36261930	3	1	562	4.0888	2.1685e-05	C19orf55
